id,name,date_of_birth,nationality,nationanl_id,insurance_id,CHUYÊN NGÀNH,Ch?c v?,number_year_exp,degree_issue_date,degree_issue_place,degree
1,Tr??ng V?nh Linh,28/03/1985,Vi?t Nam,984073163,0660283306,Khoa H?c Máy Tính ,GV,5,3/31/2015,Poland,
2,Nguy?n H?u Tình ,10/12/1992,Vi?t Nam,764550275,0393233223,Công ngh? Thông tin ,GV,14,2/5/2015,Russia,
3,Lê Tr?ng Ng?c ,03/03/1992,Vi?t Nam,802805783,0365014560,Khoa h?c máy tính ,GV,5,12/9/2012,China,
4,Nguy?n Chí Kiên,12/10/1991,Vi?t Nam,667858887,0519166933,K? thu?t ?i?n và Máy tính ,TBM,1,3/21/2006,Russia,
5,??ng Quang Vinh,07/12/1982,Vi?t Nam,585844696,0153681259,Công ngh? thông tin ,GV,7,7/16/2014,Portugal,
6,Hu?nh Trung Hi?u,05/09/1988,Vi?t Nam,298050991,0893704394,Máy tính ,TBM,14,5/8/2005,Brazil,
7,H? ??c Quán ,31/03/1982,Vi?t Nam,377689669,0266110896,Khoa h?c máy tính ,GV,10,5/27/2011,China,
8,Lê Th? Ánh Tuy?t ,16/08/1993,Vi?t Nam,558661072,0488284065,K? thu?t ph?n m?m ,GV,4,11/5/2011,Russia,
9,Ph?m Th? Thi?t? ,07/12/1990,Vi?t Nam,533933356,0184604893,Khoa h?c và k? thu?t máy tính ,GV,9,11/17/2006,China,
10,Tr?nh Thanh S?n,03/09/1993,Vi?t Nam,813156183,0655106082,Toán h?c ,GV,1,11/14/2013,Peru,
11,?oàn V?n Th?ng ,12/05/1984,Vi?t Nam,818778210,0668437578,Toán ?ng D?ng ,GV,4,10/29/2007,Philippines,
12,??ng Th? Phúc ,27/04/1984,Vi?t Nam,201024539,0714336583,"Phân tích h? th?ng, ?i?u khi?n và x? lý thông tin ",GV,13,11/22/2014,North Korea,
13,Tôn Long Ph??c,11/07/1990,Vi?t Nam,668857369,0526336192,Khoa h?c máy tính ,GV,7,1/23/2017,Brazil,
14,Tr?n Th? Minh Khoa ,18/11/1993,Vi?t Nam,686679713,0190830564,C? s? lý thuy?t thông tin ,GV,9,11/21/2016,China,
15,T? Duy Công Chi?n ,01/02/1989,Vi?t Nam,755038944,0956825767,M?ng máy tính ,GV,13,11/7/2017,Poland,
16,Nguy?n Th? H?nh ,25/01/1983,Vi?t Nam,727179962,0284537555,Khoa h?c máy tính ,GV,5,4/18/2006,Indonesia,
17,Võ Quang Hoàng Khang ,28/06/1993,Vi?t Nam,438696388,0530496444,Khoa h?c máy tính ,GV,1,8/24/2006,Indonesia,
18,Lê Th? Ánh Tuy?t ,19/02/1984,Vi?t Nam,148284654,0993895903,Khoa h?c máy tính ,GV,8,3/15/2007,Poland,
