mssv,student_name,class_name,edu_mail,national_id,address_id
19333301,Nguyễn Thanh An,KHDL15A,an.19333301@student.iuh.edu.vn,712660055,21
19333311,Thái Nữ Bình An,HTTT15A,an.19333311@student.iuh.edu.vn,971121231,203
19333321,Trần Thị Mỹ An,HTTT15B,an.19333321@student.iuh.edu.vn,570468448,171
19333331,Bùi Thị Nguyên Anh,HTTT15A,anh.19333331@student.iuh.edu.vn,559000364,44
19333341,Châu Ngọc Thạch Anh,KTPM15B,anh.19333341@student.iuh.edu.vn,982742968,132
19333351,Chu Thị Phương Anh,HTTT15C,anh.19333351@student.iuh.edu.vn,524308568,129
19333361,Dương Mỹ Anh,HTTT15A,anh.19333361@student.iuh.edu.vn,263673258,172
19333371,Đinh Thị Bích Anh,KHMT15A,anh.19333371@student.iuh.edu.vn,366941373,65
19333381,Đỗ Thị Yến Anh,HTTT15B,anh.19333381@student.iuh.edu.vn,531606788,62
19333391,Lê Kim Anh,KTPM15A,anh.19333391@student.iuh.edu.vn,637554297,73
19333401,Lê Mai Hoàng Anh,HTTT15A,anh.19333401@student.iuh.edu.vn,237380986,254
19333411,Lê Ngọc Anh,KTPM15B,anh.19333411@student.iuh.edu.vn,742277911,230
19333421,Lê Thanh Vân Anh,KHMT15A,anh.19333421@student.iuh.edu.vn,924930277,75
19333431,Lê Thị Anh,KHMT15A,anh.19333431@student.iuh.edu.vn,890857530,253
19333441,Lê Thị Lan Anh,HTTT15A,anh.19333441@student.iuh.edu.vn,343761087,106
19333451,Lê Thị Ngọc Anh,HTTT15A,anh.19333451@student.iuh.edu.vn,762456072,72
19333461,Ngô Thị Thi Anh,HTTT15C,anh.19333461@student.iuh.edu.vn,642481915,62
19333471,Nguyễn Phạm Thùy Anh,KHMT15A,anh.19333471@student.iuh.edu.vn,487382977,41
19333481,Nguyễn Thị Lan Anh,HTTT15B,anh.19333481@student.iuh.edu.vn,927255582,170
19333491,Nguyễn Thị Ngọc Anh,HTTT15C,anh.19333491@student.iuh.edu.vn,642650161,56
19333501,Nguyễn Thị Quang Anh,KTPM15A,anh.19333501@student.iuh.edu.vn,708600950,261
19333511,Nguyễn Thị Quang Anh,KTPM15A,anh.19333511@student.iuh.edu.vn,907001874,292
19333521,Nguyễn Thị Tú Anh,HTTT15C,anh.19333521@student.iuh.edu.vn,972584073,137
19333531,Phạm Ngọc Anh,KHDL15A,anh.19333531@student.iuh.edu.vn,502163788,89
19333541,Phan Thị Hà Anh,KHDL15B,anh.19333541@student.iuh.edu.vn,943552075,112
19333551,Phan Thị Minh Anh,KHDL15B,anh.19333551@student.iuh.edu.vn,226434342,146
19333561,Trần Thị Hồng Anh,HTTT15C,anh.19333561@student.iuh.edu.vn,545325589,234
19333571,Trần Thị Hồng Anh,KHDL15B,anh.19333571@student.iuh.edu.vn,626736452,11
19333581,Trần Thị Quỳnh Anh,KTPM15B,anh.19333581@student.iuh.edu.vn,937696859,141
19333591,Trương Thị Kiều Anh,KTPM15B,anh.19333591@student.iuh.edu.vn,768320935,44
19333601,Lê Thị Ngọc Ánh,KTPM15A,anh.19333601@student.iuh.edu.vn,380654986,233
19333611,Lê Thị Ngọc Ánh,HTTT15C,anh.19333611@student.iuh.edu.vn,342805066,188
19333621,Nguyễn Thị Ngọc Ánh,KHMT15B,anh.19333621@student.iuh.edu.vn,256006515,297
19333631,Phạm Thị Ngọc Ánh,KHMT15B,anh.19333631@student.iuh.edu.vn,624628193,51
19333641,Thái Thùy Ân,KTPM15A,an.19333641@student.iuh.edu.vn,272105377,104
19333651,Hồ Thị Bé,KHDL15A,be.19333651@student.iuh.edu.vn,379209974,213
19333661,Đỗ Văn Biển,HTTT15B,bien.19333661@student.iuh.edu.vn,880596945,279
19333671,Lê Ngọc Bình,HTTT15A,binh.19333671@student.iuh.edu.vn,891073010,134
19333681,Phan Ngọc Thanh Bình,KHMT15B,binh.19333681@student.iuh.edu.vn,393061492,162
19333691,Kiều Bích,KTPM15B,bich.19333691@student.iuh.edu.vn,258916989,177
19333701,Nguyễn Thị Ngọc Bích,KHDL15B,bich.19333701@student.iuh.edu.vn,848273685,100
19333711,Hoàng Lê Nhã Ca,KTPM15A,ca.19333711@student.iuh.edu.vn,511149315,296
19333721,Dương Hoàng Lâm Châu,KTPM15B,chau.19333721@student.iuh.edu.vn,485728579,106
19333731,Nguyễn Thị Minh Châu,HTTT15C,chau.19333731@student.iuh.edu.vn,655975826,73
19333741,Trần Thị Phúc Châu,HTTT15B,chau.19333741@student.iuh.edu.vn,652585413,158
