stt,mssv,student_name,class_name,edu_mail,national_id,address_id
0,19333301,Nguyễn Thanh An,KHDL15A,an.19333301@student.iuh.edu.vn,712660055,21
1,19333311,Thái Nữ Bình An,HTTT15A,an.19333311@student.iuh.edu.vn,971121231,203
2,19333321,Trần Thị Mỹ An,HTTT15B,an.19333321@student.iuh.edu.vn,570468448,171
3,19333331,Bùi Thị Nguyên Anh,HTTT15A,anh.19333331@student.iuh.edu.vn,559000364,44
4,19333341,Châu Ngọc Thạch Anh,KTPM15B,anh.19333341@student.iuh.edu.vn,982742968,132
5,19333351,Chu Thị Phương Anh,HTTT15C,anh.19333351@student.iuh.edu.vn,524308568,129
6,19333361,Dương Mỹ Anh,HTTT15A,anh.19333361@student.iuh.edu.vn,263673258,172
7,19333371,Đinh Thị Bích Anh,KHMT15A,anh.19333371@student.iuh.edu.vn,366941373,65
8,19333381,Đỗ Thị Yến Anh,HTTT15B,anh.19333381@student.iuh.edu.vn,531606788,62
9,19333391,Lê Kim Anh,KTPM15A,anh.19333391@student.iuh.edu.vn,637554297,73
10,19333401,Lê Mai Hoàng Anh,HTTT15A,anh.19333401@student.iuh.edu.vn,237380986,254
11,19333411,Lê Ngọc Anh,KTPM15B,anh.19333411@student.iuh.edu.vn,742277911,230
12,19333421,Lê Thanh Vân Anh,KHMT15A,anh.19333421@student.iuh.edu.vn,924930277,75
13,19333431,Lê Thị Anh,KHMT15A,anh.19333431@student.iuh.edu.vn,890857530,253
14,19333441,Lê Thị Lan Anh,HTTT15A,anh.19333441@student.iuh.edu.vn,343761087,106
15,19333451,Lê Thị Ngọc Anh,HTTT15A,anh.19333451@student.iuh.edu.vn,762456072,72
16,19333461,Ngô Thị Thi Anh,HTTT15C,anh.19333461@student.iuh.edu.vn,642481915,62
17,19333471,Nguyễn Phạm Thùy Anh,KHMT15A,anh.19333471@student.iuh.edu.vn,487382977,41
18,19333481,Nguyễn Thị Lan Anh,HTTT15B,anh.19333481@student.iuh.edu.vn,927255582,170
19,19333491,Nguyễn Thị Ngọc Anh,HTTT15C,anh.19333491@student.iuh.edu.vn,642650161,56
20,19333501,Nguyễn Thị Quang Anh,KTPM15A,anh.19333501@student.iuh.edu.vn,708600950,261
21,19333511,Nguyễn Thị Quang Anh,KTPM15A,anh.19333511@student.iuh.edu.vn,907001874,292
22,19333521,Nguyễn Thị Tú Anh,HTTT15C,anh.19333521@student.iuh.edu.vn,972584073,137
23,19333531,Phạm Ngọc Anh,KHDL15A,anh.19333531@student.iuh.edu.vn,502163788,89
24,19333541,Phan Thị Hà Anh,KHDL15B,anh.19333541@student.iuh.edu.vn,943552075,112
25,19333551,Phan Thị Minh Anh,KHDL15B,anh.19333551@student.iuh.edu.vn,226434342,146
26,19333561,Trần Thị Hồng Anh,HTTT15C,anh.19333561@student.iuh.edu.vn,545325589,234
27,19333571,Trần Thị Hồng Anh,KHDL15B,anh.19333571@student.iuh.edu.vn,626736452,11
28,19333581,Trần Thị Quỳnh Anh,KTPM15B,anh.19333581@student.iuh.edu.vn,937696859,141
29,19333591,Trương Thị Kiều Anh,KTPM15B,anh.19333591@student.iuh.edu.vn,768320935,44
30,19333601,Lê Thị Ngọc Ánh,KTPM15A,anh.19333601@student.iuh.edu.vn,380654986,233
